size,1,2,4,8,16
300,1.47e+03,8.35e+02,4.22e+02,2.85e+02,2.89e+02
400,2.59e+03,1.36e+03,7.82e+02,5.11e+02,5.25e+02
500,4.05e+03,2.13e+03,1.20e+03,7.77e+02,8.14e+02
600,5.80e+03,3.10e+03,1.73e+03,1.11e+03,1.18e+03
700,7.90e+03,4.37e+03,2.36e+03,1.50e+03,1.75e+03
800,1.05e+04,5.61e+03,3.03e+03,1.95e+03,1.99e+03
900,1.34e+04,7.03e+03,3.83e+03,2.47e+03,2.50e+03
1000,1.61e+04,8.71e+03,4.76e+03,3.06e+03,3.10e+03
